Disaster,Count,Sum,Mean,Probability
avalanche,1052,354.79625000000004,0.33725879277566545,0.1441095890410959
coastal,1101,2173.5627783333334,1.9741714607932184,0.15082191780821919
drought,3860,124004.09034935964,32.12541200760612,0.5287671232876713
earthquake,34,211477.27517,6219.919857941177,0.004657534246575342
flooding,29546,1367258.561359461,46.27558929667166,4.047397260273972
fog,317,506.2147601990232,1.596891988009537,0.043424657534246576
hail,13147,684118.6579364286,52.036103897195446,1.800958904109589
heat,1513,1590.9854886110393,1.0515436144157564,0.20726027397260274
hurricane,2632,2045305.5098642223,777.0917590669537,0.36054794520547945
landslide,849,14020.541210261106,16.514182815384107,0.1163013698630137
lightning,9802,16454.690138333335,1.67870742076447,1.3427397260273972
severestorm,78397,303390.4649768649,3.8699244228333347,10.73931506849315
tornado,11810,880730.79931,74.5750041752752,1.6178082191780823
tsunami,58,533.31418,9.195072068965517,0.007945205479452055
volcano,8,376.59425999999996,47.074282499999995,0.001095890410958904
wildfire,2176,105250.31214484133,48.36870962538664,0.2980821917808219
wind,102533,487196.47268950735,4.751606533403952,14.045616438356165
winterweather,14082,371779.88616626576,26.40107130849778,1.929041095890411
