,Areaname,STCOU,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,popini,2011,2012,2013,2014,2015,2016,2017,2018,2019,popfin,2021,FIPScounty,Percapdmg,Exposure,Recovery,NDamage,NExposure,NRecovery
20,"Juneau, AK",2110,30711,30502,30712,30993,31103,31003,30808,30682,31110,30857,30975,31244,31636,31897,32200.0,32531.0,32524.0,32434.0,32330.0,32227.0,32099.0,32240.0,02110,47.02086,150.13187663599,0.03628732849071832,-0.2283539686991967,-0.71427865871792,-0.15167523704974284
21,"Ketchikan Gateway, AK",2130,14070,13796,13599,13335,13244,13305,13492,13341,13326,13294,13396,13417,13525,13595,13676.0,13699.0,13715.0,13745.0,13804.0,13800.0,13833.0,13939.0,02130,49.190650000000005,58.01314549073978,0.032621678112869514,-0.2279658297948586,-0.777842906920214,-0.18823158626170602
22,"Kodiak Island, AK",2150,13913,13748,13651,13239,13206,13105,13184,13159,13262,13505,13349,13488,13710,13850,13924.0,13973.0,13918.0,13773.0,13649.0,13451.0,13383.0,13218.0,02150,0.42983,8.44372757853089,0.0025470072664619072,-0.23668831964384254,-0.8120470556773949,-0.4881565808928964
23,"North Slope, AK",2185,7385,7530,7728,7968,8046,8190,8315,8519,8841,9105,8852,9088,9317,9484,9618.0,9667.0,9681.0,9757.0,9797.0,9792.0,9375.0,10865.0,02185,1788.37557,350.333741627338,0.059082693176683236,0.08314507461991442,-0.5761343217447291,0.07565558449009505
24,"Sitka, AK",2220,8835,8727,8874,8881,8890,8994,9046,8851,8835,8844,8894,8879,8909,8945,8957.0,8943.0,8921.0,8810.0,8738.0,8640.0,8569.0,8518.0,02220,553.5031,81.43929564289954,-0.03654148864402968,-0.13775282218257434,-0.7616782723862431,-0.8779735463376195
25,"Cochise, AZ",4003,117755,118798,119847,120638,123234,125786,127241,128206,129023,130081,129268,130464,131118,131038,130807.0,129647.0,128177.0,126516.0,126279.0,125867.0,126442.0,125092.0,04003,136.29968,1833.4735867501192,-0.021861558931831542,-0.2123834907380126,0.4472695838675488,-0.7315753409307197
26,"Coconino, AZ",4005,116320,118283,121308,122882,125117,127025,128695,130442,131853,133477,131824,132978,134011,134795,135817.0,136701.0,138064.0,138639.0,140217.0,141274.0,142254.0,144942.0,04005,432.55706,1062.4423068796598,0.07912064570943075,-0.1593880327096903,-0.08476144865004777,0.2754876237665023
27,"Gila, AZ",4007,51335,51274,51478,51337,51423,51655,52541,53252,53437,53561,53272,53380,53436,53335,53242.0,53165.0,53179.0,53145.0,53400.0,53546.0,53846.0,53211.0,04007,48.67965,1751.4440494371602,0.010774891124793512,-0.22805723909258638,0.3906671339113205,-0.40610254829386844
28,"Greenlee, AZ",4011,8547,8349,7831,7567,7549,7595,7838,8205,8561,8635,8318,8472,8592,8679,8800.0,9023.0,9224.0,9368.0,9504.0,9522.0,9465.0,9542.0,04011,53.15657,452.0110135711233,0.1378937244529935,-0.22725639346991816,-0.505974439275482,0.8616125864184934
29,"Maricopa, AZ",4013,3072149,3175989,3255388,3328468,3417860,3538988,3642884,3711954,3771061,3803779,3751410,3798374,3841819,3889161,3947382.0,4018143.0,4088549.0,4155501.0,4253913.0,4328810.0,4412779.0,4367186.0,04013,930.2349599999999,2198.471061185316,0.1762987783260161,-0.07036183440511613,0.6991270483567957,1.2446138048026596
30,"Mohave, AZ",4015,155032,160312,166155,172633,180521,188773,196168,199760,200078,199696,199177,200690,201216,201680,202482.0,203362.0,203629.0,204691.0,206064.0,207695.0,210998.0,211274.0,04015,122.68166,2255.1234541638073,0.05934922204873053,-0.21481952526764644,0.7382186285790705,0.07831359098752574
31,"Pima, AZ",4019,843746,859280,874267,885893,901342,920298,940930,955869,967778,975580,964462,974181,981048,986891,993144.0,998537.0,1003338.0,1007257.0,1019722.0,1027207.0,1038476.0,1035063.0,04019,36.59958,2804.5033150209106,0.07674122982554005,-0.23021816025736613,1.1173045907793138,0.2517584764103798
32,"Pinal, AZ",4021,179727,187747,197082,207920,219472,235708,271328,306174,335311,349830,329297,351709,368374,379128,390160.0,389772.0,397604.0,405537.0,419721.0,432793.0,447559.0,420625.0,04021,131.63484,1869.9692931431762,0.3591347628432692,-0.21321795208519945,0.4724525418897179,3.067978122064199
