,Areaname,STCOU,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,popini,2011,2012,2013,2014,2015,2016,2017,2018,2019,popfin,2021,FIPScounty,Percapdmg,Exposure,Recovery,NDamage,NExposure,NRecovery
297,"DeKalb, IN",18033,40285,40576,40732,41047,41283,41494,41594,41876,42033,42053,41968,42136,42218,42253,42321.0,42449.0,42489.0,42524.0,42704.0,42927.0,43193.0,43059.0,18033,1.42244,50.31955825961441,0.02918890583301563,-0.23651075842463007,-0.7831516761818547,-0.2224655172950113
298,"Delaware, IN",18035,118769,120281,119949,119935,118938,118170,117326,117229,117007,117490,117344,117413,117459,117575,117441.0,117335.0,116463.0,115938.0,115616.0,115020.0,114461.0,112480.0,18035,9.68737,622.8536887827368,-0.02456878920098173,-0.23503230158105026,-0.38808868384131334,-0.7585736754457343
299,"Elkhart, IN",18039,182791,184708,184543,187149,189316,192242,195047,196304,197762,197514,196855,197614,198214,198662,199544.0,200685.0,201640.0,202924.0,203604.0,204558.0,205184.0,206314.0,18039,12.4942,250.43928261311387,0.04231032993827944,-0.23453020694476598,-0.6450640183207923,-0.09160978575855443
300,"Fayette, IN",18041,25588,25263,25094,24953,24844,24700,24508,24413,24384,24247,24367,24325,24220,24112,23955.0,23773.0,23608.0,23426.0,23259.0,23194.0,23068.0,23393.0,18041,12.35901,212.5663306080178,-0.053309804243444,-0.23455439015995158,-0.6711973105565443,-1.0451985507878074
301,"Floyd, IN",18043,70823,71441,71407,71219,71465,71905,72358,72876,73775,74284,73594,74112,74601,75120,75431.0,75900.0,76290.0,76481.0,76809.0,77320.0,77879.0,79594.0,18043,1.85474,103.7665545202559,0.058224855287115795,-0.23643342723205138,-0.7462719005516227,0.06710064383132873
302,"Grant, IN",18053,73403,72905,72425,72113,71479,70803,70448,70012,70250,70195,70176,70051,69886,69671,69313.0,68896.0,68269.0,67615.0,66944.0,66452.0,66055.0,66802.0,18053,18.40697,100.96894702179185,-0.058723780209758325,-0.23347251192847265,-0.7482023202957307,-1.0991903873376718
303,"Hamilton, IN",18057,182740,194664,204721,215152,225319,235039,244738,253725,261974,269394,261244,268871,276098,282977,289722.0,296635.0,303042.0,309687.0,316095.0,323117.0,330455.0,341616.0,18057,19.6167,831.7392337288245,0.2649285725222397,-0.2332561115963,-0.24395238865191538,2.128490163224754
304,"Hancock, IN",18059,55391,56729,58223,59606,60922,63045,65402,67115,68107,69183,68011,69035,69778,70466,70851.0,71328.0,71955.0,72776.0,73830.0,75164.0,76614.0,78616.0,18059,10.60554,271.8650180096274,0.1264942435782447,-0.23486805642470054,-0.6302797204290503,0.7479292394712138
305,"Hendricks, IN",18063,104093,110144,115206,119340,124115,128082,132350,137267,140710,143944,140028,143153,145880,148623,150977.0,153435.0,155817.0,158170.0,160940.0,163799.0,166806.0,172100.0,18063,15.51049,643.4334937180292,0.19123318193504157,-0.23399064344057163,-0.3738880993065667,1.3935497963263053
306,"Henry, IN",18065,48508,48397,48258,48145,48184,48064,48375,48030,49420,49305,48921,49105,49381,49275,49227.0,49146.0,48953.0,48649.0,48483.0,48255.0,48158.0,48857.0,18065,7.85025,239.67117507913184,-0.015596574068395985,-0.2353609314226191,-0.6524942841467487,-0.669096667061714
307,"Howard, IN",18067,84964,84909,84563,84538,84291,84382,83943,83743,83472,82701,83326,83094,82914,82795,82914.0,82765.0,82728.0,82457.0,82387.0,82331.0,82486.0,83349.0,18067,145.57833999999997,441.3318076029036,-0.01008088711806639,-0.21072369466275848,-0.5133433607785041,-0.6140904996654536
308,"Jackson, IN",18071,41335,41343,41335,41403,41417,41683,41725,41693,41705,41798,41902,42150,42414,42769,43127.0,43471.0,43637.0,43779.0,43938.0,44025.0,44077.0,45948.0,18071,14.73485,547.6018109516149,0.05190683022290105,-0.23412939237929875,-0.440014377787357,0.004093017143016005
309,"Jefferson, IN",18077,31705,31887,31871,31779,31787,31998,32287,32140,32586,32558,32393,32380,32501,32449,32447.0,32453.0,32482.0,32293.0,32237.0,32201.0,32167.0,33000.0,18077,49.68685000000001,297.61424636635195,-0.006976815978760843,-0.2278770679679848,-0.6125121033338513,-0.5831345991155974
310,"Johnson, IN",18081,115209,117843,120447,122202,124192,126769,130512,133933,136933,138584,135994,138227,140033,141796,143789.0,145645.0,147567.0,149359.0,151564.0,153716.0,156148.0,159739.0,18081,5.33915,474.2366985507479,0.1481977146050561,-0.23581012494027903,-0.49063815599251703,0.9643709576345947
311,"Knox, IN",18083,39256,38840,38832,38580,38712,38543,38399,38325,38497,38499,38425,38446,38392,38266,38181.0,38062.0,37956.0,37763.0,37409.0,37065.0,36833.0,36362.0,18083,47.45653,710.7740730420868,-0.041431359791802215,-0.22827603467034924,-0.32742140089436894,-0.9267386545322474
312,"Lake, IN",18089,484564,484454,484520,485596,487405,489530,491432,493403,495479,495789,494417,495272,495230,494250,493140.0,491596.0,489698.0,488694.0,486849.0,485707.0,485983.0,495925.0,18089,3.81137,356.04115408936485,-0.017058474931080446,-0.23608341906333688,-0.5721960631753931,-0.6836757329684101
313,"LaPorte, IN",18091,110106,110077,109555,109027,108914,109541,109641,110846,111267,111465,110937,111286,111335,111310,111293.0,111280.0,110993.0,110839.0,110552.0,110154.0,110026.0,112184.0,18091,19.11739,250.46525840632248,-0.008211867997151536,-0.2333454297498195,-0.6450460943682341,-0.5954513746466359
314,"Madison, IN",18095,133358,132920,132433,131740,131366,130871,131240,131203,131537,131599,131444,131445,131244,131027,130688.0,130280.0,129862.0,129641.0,129505.0,129455.0,129486.0,130037.0,18095,10.26436,535.9558928298728,-0.014896077416998874,-0.23492908778321087,-0.44805035506180274,-0.6621108398357929
315,"Marion, IN",18097,860454,865662,866210,868576,870378,873310,878515,883591,889504,898394,890976,897515,904535,912242,919336.0,926335.0,932142.0,939964.0,944523.0,951869.0,957337.0,969542.0,18097,6.66918,1030.1496630775703,0.07448124304133893,-0.2355722049632597,-0.1070441874614163,0.2292203569549828
316,"Miami, IN",18103,36082,36475,37019,37251,37120,37445,37745,37580,37281,37127,37307,37078,36850,36624,36394.0,36211.0,36093.0,36035.0,35901.0,35815.0,35684.0,36100.0,18103,24.82066,116.11814783128106,-0.043503900072372474,-0.23232521075676285,-0.7377489895957842,-0.9474074304499467
317,"Monroe, IN",18105,120563,121696,122628,124514,126359,128121,130677,132514,134401,136198,134442,136278,138048,139634,141101.0,142404.0,143292.0,144436.0,145403.0,146461.0,147318.0,140189.0,18105,5.84754,536.1706950175382,0.09577364216539475,-0.23571918252761404,-0.44790213613388863,0.4415625875842639
318,"Porter, IN",18127,146798,148372,149992,151731,153664,156024,158595,160835,162538,163572,162026,163406,164386,165168,165819.0,166570.0,167016.0,167391.0,168041.0,168636.0,169482.0,172353.0,18127,93.95408,477.17573155223914,0.04601730586449088,-0.2199584057240431,-0.48861014908383577,-0.05464131017838947
319,"St. Joseph, IN",18141,265559,265502,265090,264762,264541,264863,265496,266045,267282,266827,266522,266740,266785,266694,266916.0,267246.0,267696.0,268613.0,269240.0,270216.0,270881.0,272049.0,18141,24.70376,205.88569566534426,0.016355122654039815,-0.2323461221988458,-0.6758071171872441,-0.3504526986247768
320,"Tippecanoe, IN",18157,148955,151095,152348,154040,155832,158834,163010,166226,169039,171937,168635,170965,173317,175628,178135.0,180952.0,183397.0,186081.0,189294.0,191553.0,193302.0,185961.0,18157,14.23389,798.0620734125317,0.14627449817653512,-0.23421900569004184,-0.2671904787827699,0.9451913403431997
321,"Vanderburgh, IN",18163,171922,172449,173067,174239,175113,175769,176822,177789,178053,178995,178298,178985,179610,180233,180877.0,181305.0,181692.0,181831.0,181313.0,181291.0,181548.0,179695.0,18163,241.14643999999998,2683.9793089720906,0.018227910576675006,-0.19362817038452274,1.034139986365231,-0.33177598856167023
322,"Vigo, IN",18167,105848,105482,105221,105356,104662,105245,106509,106885,106972,107429,107151,107472,107805,108084,108264.0,108268.0,108099.0,107723.0,107693.0,107459.0,107305.0,106523.0,18167,4.50412,403.405159630715,0.0014372241043014065,-0.2359594977502235,-0.5395137045860408,-0.499224090514287
323,"Wabash, IN",18169,34960,34700,34488,34325,34131,33806,33665,33361,33238,33036,33225,33019,32804,32650,32492.0,32358.0,32177.0,31848.0,31631.0,31389.0,31198.0,31120.0,18169,8.9415,63.735007871691124,-0.06100827689992475,-0.23516572516793136,-0.7738946775423182,-1.1219729361819257
324,"Warrick, IN",18173,52383,52780,53317,54439,55171,56066,56746,57754,58435,59197,58393,59104,59643,60163,60538.0,60995.0,61427.0,61581.0,61928.0,62280.0,62608.0,63575.0,18173,509.66504999999995,1802.8557769443153,0.07218330964327917,-0.14559471134941468,0.4261425227616153,0.20630380815563878
325,"Wayne, IN",18177,71097,70712,70545,70490,70070,69793,69642,69365,69093,68984,69187,68990,68797,68557,68360.0,67866.0,67423.0,66972.0,66613.0,66342.0,66176.0,66588.0,18177,16.19926,412.18674419818717,-0.04351973636665848,-0.23386743408245816,-0.5334541897173861,-0.9475653607063729
326,"Black Hawk, IA",19013,128012,127765,126876,126491,126682,127021,127486,127756,129203,130595,129252,130060,130843,131468,131947.0,132496.0,132821.0,132960.0,133009.0,132393.0,131813.0,131396.0,19013,965.77685,4203.61517761519,0.019814006746510692,-0.06400398860312378,2.0827270688254877,-0.3159583629041199
327,"Buena Vista, IA",19021,20411,20241,20233,20141,20000,19970,19909,19798,19855,20004,19980,20078,20215,20350,20460.0,20507.0,20445.0,20369.0,20260.0,20058.0,19950.0,20723.0,19021,430.63686,1833.384790609642,-0.0015015015015015015,-0.1597315241646744,0.44720831229072044,-0.5285310533749715
328,"Cerro Gordo, IA",19033,46447,45844,45430,45412,44993,44741,44531,44461,44285,44239,44324,44206,44083,43932,43707.0,43481.0,43303.0,43134.0,42984.0,42834.0,42672.0,43185.0,19033,2229.58875,2597.9590994478085,-0.037271004421983576,0.162070685054438,0.9747838719177434,-0.8852487719553365
329,"Clay, IA",19041,17372,17256,17086,16985,16960,16848,16812,16725,16697,16708,16718,16674,16649,16604,16555.0,16537.0,16478.0,16387.0,16313.0,16211.0,16138.0,16410.0,19041,1198.08727,2358.4748096631947,-0.0346931451130518,-0.022447565223385774,0.809533670930751,-0.8595406123103014
330,"Clinton, IA",19045,50149,49889,49659,49585,49498,49475,49487,49342,49303,49147,49274,49185,49074,48896,48663.0,48365.0,47972.0,47587.0,47218.0,46909.0,46734.0,46589.0,19045,63.51674,1016.201446956964,-0.05154848398749848,-0.22540313346201124,-0.1166688084309722,-1.0276334718213198
331,"Dallas, IA",19049,40750,43204,44960,47118,50387,53042,56158,59164,62144,64489,61714,64383,66997,69526,72124.0,74892.0,78074.0,80864.0,84002.0,87099.0,90418.0,96604.0,19049,1747.99733,4252.075222212434,0.4651132644132612,0.07592208721896757,2.1161657220111953,4.124867544952038
332,"Des Moines, IA",19057,42351,41820,41138,41047,40562,40332,40192,40206,40235,40379,40266,40255,40268,40301,40265.0,40208.0,40114.0,39876.0,39600.0,39386.0,39227.0,39069.0,19057,191.73748,1259.2523792194197,-0.025803407341181146,-0.20246660156859334,0.051042465834948814,-0.7708861240494772
333,"Dickinson, IA",19059,16424,16477,16351,16339,16506,16644,16667,16634,16690,16666,16665,16712,16778,16818,16877.0,16967.0,17046.0,17000.0,17056.0,17127.0,17260.0,17536.0,19059,1025.57608,1786.1973819731306,0.035703570357035704,-0.05330691302785543,0.4146478100203964,-0.15749686868138502
334,"Dubuque, IA",19061,89143,88932,89132,90012,90462,90769,91258,92130,92519,92948,92547,93227,93776,94411,95166.0,95906.0,96359.0,96571.0,96802.0,96982.0,97193.0,98687.0,19061,168.34449,484.95904060679896,0.0502015192280679,-0.2066512136775034,-0.48323946950077556,-0.012913499522849281
335,"Emmet, IA",19063,11027,10890,10815,10724,10553,10527,10437,10417,10448,10361,10389,10323,10263,10141,10068.0,9917.0,9820.0,9661.0,9551.0,9438.0,9322.0,9433.0,19063,12332.139140000001,8150.015296041231,-0.10270478390605448,1.9692468815503912,4.805842699214083,-1.53779875531792
336,"Jefferson, IA",19101,16181,16207,16131,16194,16298,16315,16401,16600,16607,16782,16643,16721,16791,16800,17102.0,17318.0,17662.0,17945.0,18077.0,18148.0,18153.0,15846.0,19101,40.43666,261.7430961223564,0.09072883494562278,-0.22953177123950835,-0.6372641018586235,0.39125235190345575
337,"Johnson, IA",19103,111006,113546,114948,116673,118891,120300,122226,124541,127113,129864,126994,129159,131627,134034,136802.0,139436.0,142006.0,144425.0,147001.0,148577.0,150819.0,151833.0,19103,29.5863,330.05708036212576,0.18760728853331654,-0.23147271798646263,-0.5901257295002651,1.3573899306173993
338,"Lee, IA",19111,38052,37435,36960,36627,36587,36364,36291,36130,35819,35856,35991,35854,35741,35736,35552.0,35369.0,35172.0,34785.0,34541.0,34227.0,33946.0,33724.0,19111,167.77459,950.9689775491493,-0.056819760495679474,-0.20675315919369724,-0.1616808578234989,-1.0802022126893367
339,"Linn, IA",19113,191701,194359,195987,196920,198314,200395,202709,205840,208558,210217,207765,210011,211954,213425,214927.0,216640.0,218076.0,220008.0,222121.0,223861.0,225601.0,228567.0,19113,20.20505,439.3139188861102,0.08584699059033042,-0.23315086568569698,-0.5147357548947086,0.3425672923219553
340,"Mahaska, IA",19123,22335,22407,22394,22156,22240,22454,22298,22388,22483,22364,22382,22433,22432,22428,22420.0,22396.0,22324.0,22301.0,22208.0,22164.0,22351.0,22132.0,19123,5486.50085,4400.335038813311,-0.0013850415512465374,0.7446774322601452,2.218468735347161,-0.5273696358441412
341,"Marion, IA",19125,32052,32583,32572,32547,32618,32774,33396,33279,33515,33468,33378,33372,33388,33318,33308.0,33248.0,33197.0,33127.0,33207.0,33172.0,33193.0,33381.0,19125,7303.17207,3012.5604705961237,-0.005542572952243993,1.0696493313256503,1.2608692764065328,-0.5688313558906006
342,"Marshall, IA",19127,39311,39414,39297,39397,39711,39646,39601,39875,40151,40280,40131,40398,40568,40800,40922.0,40962.0,40735.0,40476.0,40271.0,39964.0,39804.0,40137.0,19127,8160.660659999999,2521.4082180327478,-0.00814831427076325,1.2230396049489107,0.9219618327311757,-0.5948175738265655
343,"Montgomery, IA",19137,11771,11509,11313,11211,11191,11214,11179,10981,10823,10803,10901,10792,10710,10625,10549.0,10465.0,10380.0,10239.0,10155.0,10053.0,10016.0,10327.0,19137,33.69494,212.4500262389704,-0.08118521236583799,-0.23073775145609807,-0.6712775635049864,-1.3231910074350897
344,"Muscatine, IA",19139,41722,41760,41757,41654,41758,41894,42145,42325,42515,42783,42501,42634,42729,42798,42857.0,42913.0,42949.0,42923.0,42950.0,42889.0,42703.0,43145.0,19139,34.55063,755.3781034056157,0.004752829345191878,-0.23058468291994802,-0.2966434947985988,-0.4661586285794973
345,"Page, IA",19145,16976,16822,16506,16356,16227,16274,16331,16256,16083,15885,16095,16029,15902,15838,15737.0,15660.0,15552.0,15393.0,15363.0,15268.0,15205.0,15250.0,19145,4.78892,215.05987724291052,-0.05529667598633116,-0.23590855182460146,-0.6694767004782922,-1.0650129820034184
346,"Polk, IA",19153,374601,380108,384355,388277,392164,399030,405990,413024,419495,425737,419301,425582,431811,438307,445136.0,452369.0,459159.0,467235.0,474274.0,479612.0,485418.0,488871.0,19153,329.98927,5087.217570616619,0.15768385956627817,-0.17773568369479917,2.6924350090306524,1.0589732224804982
347,"Pottawattamie, IA",19155,87704,87953,88447,88821,89762,90198,90867,91239,91781,92395,91928,92464,92793,92962,93153.0,93213.0,93198.0,93287.0,93503.0,93393.0,93478.0,93571.0,19155,181.19392,3904.709474342975,0.016861021669132364,-0.20435266696027776,1.876474593615879,-0.3454075308767919
348,"Scott, IA",19163,158668,158203,158086,158048,158145,158543,159597,160077,161824,163582,162184,163667,165432,167080,168714.0,169994.0,171116.0,171493.0,172288.0,172446.0,172938.0,174170.0,19163,42.04681,1185.3368044975432,0.06630740393626991,-0.22924374251008295,3.8854742778140716e-05,0.14770529525325596
349,"Story, IA",19169,79981,80260,81885,82068,82754,82884,84739,86540,87831,89285,87594,88577,89734,90750,91939.0,93586.0,94834.0,95888.0,96922.0,96941.0,97355.0,98106.0,19169,2031.87587,2842.499748472229,0.11143457314427929,0.12670317915906176,1.1435230883278016,0.5977440022953232
350,"Union, IA",19175,12309,12240,12163,12004,12085,12143,12225,12319,12447,12527,12409,12471,12525,12547,12554.0,12575.0,12539.0,12497.0,12453.0,12358.0,12303.0,12193.0,19175,9454.36454,2172.1407232660604,-0.00854218712224998,1.4544614506211362,0.6809584510048537,-0.5987455407682766
351,"Wapello, IA",19179,36051,35947,35796,35750,35709,35855,35776,35458,35381,35481,35553,35473,35449,35469,35406.0,35315.0,35242.0,35321.0,35315.0,35141.0,35102.0,35343.0,19179,3443.5303400000003,5459.384185027927,-0.012685286754985514,0.3792243997793838,2.949239360946301,-0.6400633374434519
352,"Warren, IA",19181,40671,41080,41422,42187,42584,43339,44178,44868,45450,45926,45346,45859,46239,46631,47058.0,47542.0,48170.0,48630.0,49361.0,50076.0,50867.0,51862.0,19181,2677.9392700000003,3066.5037335663837,0.12175274555638865,0.24227304546360823,1.2980914885848214,0.7006438086177339
353,"Webster, IA",19187,40235,40045,39654,39377,38922,38562,38534,38393,38273,38316,38286,38105,37895,37626,37399.0,37295.0,37050.0,36945.0,36757.0,36545.0,36348.0,37114.0,19187,3397.0401500000003,4587.673380723487,-0.05061902523115499,0.37090808741317804,2.347736916909588,-1.0183642793526837
354,"Woodbury, IA",19193,103877,103129,102666,102039,101816,100589,100693,100492,100910,101581,101217,101566,101948,102155,102372.0,102530.0,102426.0,102397.0,102398.0,102586.0,102687.0,105102.0,19193,146.16921,1964.4008349850674,0.014523252022881532,-0.21061799796657762,0.5376126878137729,-0.36872135373395853
355,"Atchison, KS",20005,16774,16868,16823,16875,16937,16865,16902,16864,16820,16965,16889,16867,16854,16839,16737.0,16633.0,16557.0,16466.0,16363.0,16268.0,16210.0,16382.0,20005,26.14313,450.84257778563006,-0.04020368287050743,-0.23208864313647706,-0.5067806894414818,-0.9144954284664114
356,"Barton, KS",20009,28205,27771,27684,27581,27390,27536,27460,27492,27314,27526,27499,27572,27556,27602,27566.0,27399.0,27214.0,27067.0,26791.0,26453.0,26209.0,25708.0,20009,266.02205,1177.2500293887147,-0.04691079675624568,-0.18917834251632273,-0.005541224072714909,-0.9813833125082452
357,"Bourbon, KS",20011,15379,15368,15200,15187,15110,15002,14990,15038,15127,15157,15097,15095,15060,15004,14913.0,14812.0,14751.0,14757.0,14702.0,14608.0,14539.0,14410.0,20011,4314.98568,789.3179710079478,-0.03696098562628337,0.5351130898586903,-0.27322413001353707,-0.882157054472847
358,"Butler, KS",20015,59482,59894,60473,61056,61849,62547,63571,64213,64941,65617,64853,65307,65647,65786,65927.0,66092.0,66264.0,66260.0,66468.0,66698.0,66890.0,67404.0,20015,247.75062,1121.1589310635484,0.03140949532018565,-0.19244679375855822,-0.04424549682543387,-0.2003202943790604
359,"Clay, KS",20027,8822,8730,8607,8493,8447,8444,8458,8527,8618,8500,8531,8555,8547,8500,8460.0,8421.0,8346.0,8203.0,8142.0,8082.0,8030.0,8085.0,20027,0.87917,47.18752793158633,-0.05872699566287657,-0.23660794028211848,-0.7853128561142398,-1.099222454014782
360,"Cloud, KS",20029,10268,10090,9948,9886,9739,9741,9560,9525,9541,9545,9538,9501,9479,9419,9414.0,9339.0,9302.0,9191.0,9060.0,8938.0,8831.0,9037.0,20029,3.25202,7.829553011820334,-0.07412455441392325,-0.2361834773621315,-0.8124708516210924,-1.2527773424232362
361,"Cowley, KS",20035,36291,36103,36680,36300,36317,35928,35787,36148,36284,36195,36140,36237,36259,36232,36201.0,36079.0,35977.0,35732.0,35591.0,35351.0,35090.0,34769.0,20035,173.19913999999997,940.3996675166266,-0.029053680132816822,-0.2057827985166146,-0.16897394835874463,-0.8033000465346064
362,"Crawford, KS",20037,38242,38434,38330,38631,38656,38638,38855,38922,38997,38966,38985,39051,39133,39182,39277.0,39304.0,39281.0,39099.0,39108.0,38968.0,38874.0,39018.0,20037,953.21905,928.3245651046451,-0.002847248941900731,-0.06625036762270488,-0.17730607361970882,-0.5419517586554381
363,"Douglas, KS",20045,99962,101269,102552,103570,104826,105681,107187,107892,109010,110039,109052,110075,111073,112210,113703.0,114967.0,116352.0,117806.0,119319.0,120290.0,121304.0,118690.0,20045,5.15185,93.507267475748,0.11235007152551077,-0.23584362975723486,-0.7533510674047509,0.6068739724445563
364,"Ellis, KS",20051,27507,27591,27532,27507,27457,27429,27653,27710,28010,28353,28039,28253,28525,28746,28878.0,28993.0,29032.0,28877.0,28878.0,28775.0,28747.0,28893.0,20051,88.84775,32.47608795351333,0.025250543885302613,-0.22087184220010242,-0.7954641207979111,-0.2617415310560931
365,"Finney, KS",20055,40523,39730,38499,37701,37462,36754,36259,35663,35461,36300,36139,36297,36608,36920,37099.0,37133.0,36983.0,37097.0,36957.0,36750.0,36451.0,38338.0,20055,0.27009,61.9738504215507,0.00863333241096876,-0.2367168944407487,-0.7751099206084383,-0.4274596227910941
366,"Ford, KS",20057,32458,32182,31981,32285,32265,32354,32029,32168,32187,33158,32727,33232,33725,34217,34604.0,34714.0,34492.0,34658.0,34484.0,34179.0,33718.0,34426.0,20057,18.80158,289.33209044873576,0.03028080789562135,-0.23340192284241323,-0.6182269998359251,-0.21157633011363522
367,"Geary, KS",20061,27947,27821,27679,27532,27149,27099,27708,27951,30276,31537,30537,32081,34110,35583,36458.0,36787.0,36818.0,35796.0,34895.0,34025.0,33309.0,36514.0,20061,0.21074,15.659106023640668,0.09077512525788388,-0.2367275111566394,-0.8070682625410103,0.3917139902611053
368,"Grant, KS",20067,7909,7789,7901,7770,7722,7687,7707,7756,7674,7731,7744,7795,7817,7869,7856.0,7816.0,7748.0,7716.0,7616.0,7467.0,7324.0,7430.0,20067,0.29504,2.6098510039401113,-0.054235537190082644,-0.2367124313057618,-0.8160725776744807,-1.054430586957662
369,"Harvey, KS",20079,32869,32961,33254,33422,33549,33566,33659,33823,33994,34547,34150,34392,34572,34722,34797.0,34835.0,34814.0,34683.0,34555.0,34503.0,34434.0,34006.0,20079,178.84278,807.4351379090346,0.008316251830161055,-0.2047732463267351,-0.2607228278428933,-0.4306217651793545
370,"Johnson, KS",20091,451086,463554,475239,485689,495396,504441,514813,523879,532175,539396,531228,538836,546046,552947,560025.0,566814.0,572428.0,578797.0,585502.0,591506.0,597574.0,605154.0,20091,1.51661,161.56860829260359,0.1248917602234822,-0.23649391299690598,-0.7063870253811803,0.7319481897025136
371,"Leavenworth, KS",20103,68691,69906,70793,70939,71373,71788,72741,73791,74560,75461,74611,75500,76286,77002,77687.0,78227.0,78785.0,79359.0,80042.0,80745.0,81499.0,81601.0,20103,335.43778000000003,161.7245930243154,0.09231882698261651,-0.17676103697706377,-0.7062793919815553,0.4071088297879325
372,"Lyon, KS",20111,35935,36049,35826,35868,36034,35936,35832,36018,35591,33777,34974,34561,34103,33624,33510.0,33462.0,33401.0,33302.0,33299.0,33251.0,33237.0,32318.0,20111,79.60597,91.04840605726807,-0.049665465774575396,-0.2225250410642015,-0.7550477438087372,-1.0088547383719777
373,"McPherson, KS",20113,29554,29489,29237,29239,29276,29375,29174,29250,29095,29222,29178,29190,29208,29297,29308.0,29252.0,29164.0,28792.0,28630.0,28567.0,28557.0,30059.0,20113,138.96843,756.7214506460739,-0.021283158544108574,-0.21190609628926307,-0.29571655131649943,-0.7258071403719025
374,"Mitchell, KS",20123,6932,6772,6706,6688,6539,6443,6382,6389,6370,6420,6383,6365,6359,6368,6324.0,6296.0,6299.0,6230.0,6222.0,6145.0,6053.0,5884.0,20123,6066.69719,923.8390826224629,-0.051699827667241106,0.8484647903494394,-0.18040116967954173,-1.0291427735379068
375,"Montgomery, KS",20125,36252,35935,35490,35152,35150,35034,35246,35504,35538,35589,35453,35383,35167,34869,34602.0,34184.0,33765.0,33463.0,32970.0,32521.0,32114.0,31679.0,20125,223.71464999999998,935.6232879870636,-0.09418102840380221,-0.19674642416541938,-0.17226977071920224,-1.452794090219284
376,"Neosho, KS",20133,16997,16884,16719,16615,16664,16591,16479,16578,16587,16568,16538,16536,16501,16477,16453.0,16423.0,16358.0,16209.0,16125.0,16108.0,16008.0,15926.0,20133,41.18078,393.1717212367208,-0.03204740597412021,-0.2293986606981675,-0.5465750352182774,-0.8331555090088509
377,"Norton, KS",20137,5953,5863,5845,5852,5789,5765,5748,5698,5702,5640,5692,5668,5658,5640,5628.0,5590.0,5558.0,5527.0,5486.0,5446.0,5416.0,5457.0,20137,3031.37066,224.90437375495674,-0.04848910751932537,0.3054959714026569,-0.6626837495557306,-0.9971232968146592
378,"Pawnee, KS",20145,7233,7068,6996,6964,6975,7027,6889,6930,6859,6927,6913,6942,6945,6971,6959.0,6911.0,6840.0,6776.0,6709.0,6629.0,6539.0,6356.0,20145,65.03794,175.48214724889166,-0.05410096918848546,-0.22513101639018446,-0.6967863325297418,-1.0530885836698225
379,"Pratt, KS",20151,9647,9579,9669,9575,9492,9618,9658,9698,9684,9669,9670,9675,9670,9730,9758.0,9739.0,9729.0,9670.0,9582.0,9452.0,9324.0,9266.0,20151,339.41868999999997,55.53926026749464,-0.03578076525336091,-0.17604891919346788,-0.7795499501284665,-0.8703870972613396
380,"Reno, KS",20155,64790,64584,64163,63990,63779,63778,63822,63683,63974,64196,64054,64207,64346,64319,64223.0,64058.0,63803.0,63360.0,63101.0,62765.0,62421.0,62071.0,20155,273.21101,1167.6739773862791,-0.02549411434102476,-0.18789235859265715,-0.012148941512082522,-0.76780164469191
381,"Rice, KS",20159,10761,10609,10526,10465,10498,10396,10224,10103,10175,10047,10128,10102,10077,10055,10050.0,10014.0,9949.0,9868.0,9762.0,9658.0,9532.0,9464.0,20159,720.24122,897.3975804009162,-0.058846761453396526,-0.10792617941613467,-0.1986464732042046,-1.1004168396245912
382,"Riley, KS",20161,62843,62962,62625,62922,64218,64751,66928,67329,69444,69995,69035,70249,71927,73243,74478.0,75022.0,75026.0,75696.0,75296.0,75056.0,74059.0,72602.0,20161,250.81914,34.2942576435976,0.07277467951039328,-0.19189788718661369,-0.7942095378480855,0.21220134915035374
383,"Russell, KS",20167,7370,7179,7066,7032,7085,6930,6894,6943,6869,6880,6915,6926,6926,6945,6959.0,6988.0,6988.0,6987.0,6977.0,6948.0,6896.0,6747.0,20167,213.07966,341.72782722802083,-0.00274765003615329,-0.1986488448449536,-0.5820726197660442,-0.5409584908845577
384,"Saline, KS",20169,53597,53952,54157,54018,54178,54361,54478,54723,54811,55164,54982,55258,55493,55633,55793.0,55735.0,55547.0,55334.0,54977.0,54701.0,54384.0,54378.0,20169,42.65113,432.8392863829228,-0.010876286784765923,-0.229135639835322,-0.5192034146457131,-0.6220227640610588
385,"Scott, KS",20171,5120,5110,4960,4865,4713,4771,4738,4707,4729,4823,4832,5071,4872,4930,4965.0,4928.0,4958.0,4981.0,4949.0,4917.0,4893.0,5163.0,20171,97.59697,121.3378498391613,0.012624172185430464,-0.21930675402815353,-0.734147263542396,-0.38766026458557135
386,"Sedgwick, KS",20173,452869,456887,461020,462442,464021,467113,471659,478479,486077,495006,486123,491988,497062,500768,503788.0,506529.0,508221.0,510484.0,512064.0,513375.0,515416.0,520467.0,20173,1578.72893,1429.2182439291398,0.060258411965695924,0.04564281995574776,0.1683231999051037,0.08738064885682746
387,"Seward, KS",20175,22510,22544,22687,22647,22538,22334,22246,22409,22522,22729,22588,22802,23013,23146,23319.0,23274.0,23185.0,22948.0,22692.0,22349.0,21902.0,22223.0,20175,28.910700000000002,162.42061811925458,-0.030370108021958563,-0.23159357145328238,-0.7057991171086851,-0.8164283573846103
