GEOID,MEDRENT,MVALOO,PCTKID,PCTOLD,AVGPERHH,PCTFRMPOP,FEMLBR,PCTFHH,PCTPOV,PCTRENT,PCTMOBL,HOUDEN,PCTNOHS,PCTCVLBF,PCTVOTE,LGINREV,GENEXPPC,EXPED,INFMTR,CHILLD,DISNWR,LBWB,HUWNF,HUWNP,MD
48475,349,34400,0.06563,0.14282,2.66,0.01412,0.43336,0.1566,0.17289,0.18005,0.1548,5.78343,70.5,1,0.33019,3687,3345,15721,80.2,79.75067,690.25575,11.91677,21.08351,24.75021,0.91667
8061,366,46100,0.0598,0.17571,2.4,0.17756,0.43041,0.09735,0.12022,0.23378,0.20441,0.46132,88.6,1,0.52528,9769,8828,3098,0,73.98274,363.74846,6.16523,12.33046,0,6.16523
48487,377,46800,0.0663,0.16183,2.48,0.03223,0.47939,0.1591,0.12238,0.29258,0.0653,6.56087,71.4,1,0.30724,4235,4262,33543,107.8,95.39384,419.05151,9.53938,0,11.58354,2.04415
41015,550,148000,0.04102,0.26626,2.19,0.00757,0.47887,0.11052,0.12083,0.22628,0.26109,7.00881,91.2,0.99182,0.58343,2941,2732,25106,37.2,122.06084,640.10976,3.31173,2.83862,33.59039,2.36552
8119,767,162000,0.05736,0.07492,2.56,0.00725,0.45489,0.08844,0.05332,0.14717,0.10326,18.60123,93.7,0.99513,0.62788,3290,3015,23335,59.2,29.18998,401.3622,11.18949,0,19.94649,1.946
29049,442,86400,0.0657,0.14116,2.59,0.06829,0.46453,0.11828,0.09105,0.19132,0.06767,18.8103,89.9,0.99822,0.55082,1917,1807,24491,47.6,77.98093,378.83977,7.90347,2.63449,20.02213,5.26898
49051,731,185300,0.09188,0.08439,3.18,0.01939,0.41431,0.09194,0.05133,0.13955,0.04235,5.57504,92.5,0.99863,0.5607,3860,3645,22468,31.4,34.83405,334.53829,11.83043,1.31449,6.57246,1.31449
16029,398,80400,0.07489,0.13609,2.83,0.05435,0.41156,0.06775,0.09502,0.16499,0.16625,1.8052,87.2,1,0.45208,4249,3918,13028,71.8,52.02629,516.15553,6.84556,2.73823,10.9529,1.36911
37157,437,81400,0.06159,0.14812,2.45,0.01762,0.47063,0.18039,0.12639,0.24199,0.19374,70.98369,75.6,0.99918,0.45266,2393,2325,118641,81.2,85.61048,657.47106,12.50979,7.17953,7.50587,0.5439
5117,336,55600,0.05976,0.17308,2.41,0.04319,0.43771,0.15498,0.15243,0.21858,0.22798,7.41566,74.2,0.99766,0.35444,1686,1478,8659,57.2,94.34951,748.50613,54.51305,7.3383,20.96656,0
5011,326,45000,0.05944,0.17476,2.45,0.01921,0.43461,0.20714,0.2554,0.22293,0.12833,9.11424,62.2,0.99578,0.32071,1907,1870,14590,73.8,113.49206,872.22222,25.39683,5.55556,42.06349,0.79365
48193,388,47300,0.05626,0.23575,2.37,0.11703,0.46773,0.11192,0.13768,0.16611,0.10752,5.3308,82.2,0.99886,0.45911,3208,3053,12606,21.2,148.25617,460.56629,7.29129,7.29129,7.29129,2.43043
24011,482,101700,0.0619,0.1354,2.64,0.03712,0.47311,0.18502,0.11561,0.23894,0.10284,37.57106,80.2,0.99807,0.44397,2572,2725,46838,112.4,84.97918,464.19455,10.07658,5.03829,19.14551,0.67177
27041,411,102300,0.05509,0.17943,2.42,0.06011,0.46063,0.0938,0.08367,0.18168,0.07548,26.31795,89.8,0.99936,0.63734,4638,4249,38439,44.4,78.91289,267.81634,5.17961,16.45288,9.14049,1.52342
30043,419,128700,0.05214,0.103,2.62,0.04627,0.45997,0.078,0.08777,0.15027,0.1679,2.53465,90.9,0.99556,0.63101,1976,2027,12564,41.4,53.73669,440.83989,3.9805,20.8976,36.81958,0.99512
51059,998,233300,0.0699,0.07921,2.74,0.00002,0.46137,0.12053,0.04475,0.2835,0.0061,909.80913,92.1,0.97731,0.53236,3388,3441,1738523,45.8,31.30707,249.39443,8.55892,4.56819,6.19748,0.55685
30023,321,70700,0.04598,0.18838,2.26,0.012,0.47652,0.14846,0.15408,0.21238,0.05829,6.72746,84.2,0.9967,0.53881,1896,1976,9112,75.8,104.06711,750.76988,9.55718,22.3001,5.30955,3.18573
47001,450,87500,0.05574,0.16577,2.37,0.01183,0.46871,0.16702,0.12975,0.25232,0.12508,96.14826,82.2,0.99906,0.44259,2373,2166,91045,60,82.01318,790.97154,9.11258,3.08426,5.32735,0
39077,474,95100,0.07484,0.12362,2.64,0.02784,0.45623,0.14274,0.08402,0.26316,0.07972,47.88812,84.9,0.99926,0.43004,3009,2941,97065,72,68.58641,433.372,9.75003,6.05174,12.10349,3.02587
13005,316,56500,0.07542,0.12798,2.6,0.02791,0.44301,0.19183,0.23112,0.21528,0.33423,15.66591,73.4,1,0.38979,4604,4462,15582,72.8,92.05187,850.2425,11.87766,0,4.94903,0.98981
10001,573,114100,0.07213,0.11682,2.61,0.01271,0.47573,0.19426,0.10326,0.28098,0.18605,85.60164,84.6,0.95218,0.52823,2381,2399,239390,96.2,66.14206,491.17185,11.76034,2.99928,7.81392,1.81536
39173,508,120000,0.05836,0.11014,2.51,0.02015,0.47871,0.12989,0.09006,0.27848,0.1047,76.89367,91.2,0.99804,0.53709,3165,3131,195035,54.4,59.96779,289.5139,7.51662,1.56941,3.63441,1.98241
13157,501,102900,0.07264,0.1039,2.71,0.02455,0.4516,0.14197,0.11729,0.23302,0.30833,47.39456,76,0.99946,0.55207,2716,3032,71291,80.4,66.12325,658.34716,12.50331,14.18644,17.79317,0.72135
